"season"|"team"|"player"|"dob"|"age"|"nationality"|"current.club"|"height.cm"|"foot"|"joined"|"contract.start"|"contract.end"|"curr.market.value.EUR"|"prev.market.value.EUR"
"2013"|"Mumbai City FC"|"Rohit Mirza"|1991-08-15|"21"|"India"|"Gokulam Kerala FC"|"175"|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Johan Letzelter"|1984-09-19|"28"|"France"|"Without Club"|"178"|"right"|NA|NA|NA|"300K"|"250K"
"2013"|"Mumbai City FC"|"Tiago Ribeiro"|1992-06-15|"21"|"Portugal"|"FC Freienbach"|"183"|"both"|NA|NA|NA|"200K"|NA
"2013"|"Mumbai City FC"|"Jan Stohanzl"|1985-03-20|"28"|"Czech Republic"|"Unknown"|"174"|"right"|NA|NA|NA|"400K"|"400K"
"2013"|"Mumbai City FC"|"Javi Fernández"|1988-02-22|"25"|"Spain"|"Vélez CF"|"171"|"left"|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Asif Kottayil"|1985-05-24|"28"|"India"|"Chennai City FC"|"176"|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Ram Malik"|1991-03-10|"22"|"India"|"Bhawanipore FC"|NA|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Lalrindika Ralte"|1992-09-07|"20"|"India"|"East Bengal FC"|"173"|NA|NA|NA|NA|"75K"|NA
"2013"|"Mumbai City FC"|"André Moritz"|1986-08-06|"26"|"Brazil"|"Avaí Futebol Clube (SC)"|"187"|"left"|NA|NA|NA|"1.50M"|"900K"
"2013"|"Mumbai City FC"|"Freddie Ljungberg"|1977-04-16|"36"|"Sweden"|"Retired"|"175"|"right"|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Nicolas Anelka"|1979-03-14|"34"|"France"|"Retired"|"186"|"right"|NA|NA|NA|"500K"|"1.00M"
"2013"|"Mumbai City FC"|"Diego Nadaya"|1989-09-15|"23"|"Argentina"|"Without Club"|"178"|"right"|NA|NA|NA|"100K"|"50K"
"2013"|"Mumbai City FC"|"Sushil Kumar Singh"|1989-04-01|"24"|"India"|"NEROCA FC"|"180"|"right"|NA|NA|NA|"50K"|NA
"2013"|"Mumbai City FC"|"Abhishek Yadav"|1980-06-10|"33"|"India"|"Retired"|"188"|"both"|NA|NA|NA|"50K"|NA
"2013"|"Mumbai City FC"|"Subash Singh"|1990-02-02|"23"|"India"|"NEROCA FC"|"175"|"right"|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Nadong Bhutia"|1993-11-25|"19"|"India"|"Real Kashmir F.C."|NA|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Lalrin Fela"|1990-09-24|"22"|"India"|"Without Club"|"168"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Alexandros Tzorvas"|1982-08-12|"30"|"Greece"|"Retired"|"188"|"right"|NA|NA|NA|"600K"|"800K"
"2013"|"NorthEast United FC"|"TP Rehenesh"|1993-02-13|"20"|"India"|"NorthEast United FC"|"178"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Kunzang Bhutia"|1994-01-03|"19"|"India"|"Churchill Brothers SC"|"186"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Massamba Sambou"|1986-09-17|"26"|"Senegal"|"Without Club"|"188"|"right"|NA|NA|NA|"400K"|"400K"
"2013"|"NorthEast United FC"|"Zohmingliana Ralte"|1990-10-02|"22"|"India"|"Chennaiyin FC"|"178"|"right"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Robin Gurung"|1992-10-24|"20"|"India"|"Jamshedpur FC"|"172"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Joan Capdevila"|1978-02-03|"35"|"Spain"|"Retired"|"182"|"left"|NA|NA|NA|"400K"|"500K"
"2013"|"NorthEast United FC"|"Tomas Josl"|1984-11-12|"28"|"Czech Republic"|"SK Spartak Hulin"|"178"|"left"|NA|NA|NA|"250K"|"150K"
"2013"|"NorthEast United FC"|"Jibon Singh"|1990-02-06|"23"|"India"|"Shillong Lajong FC"|"183"|"left"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Miguel Garcia"|1983-02-04|"30"|"Portugal"|"Retired"|"179"|"right"|NA|NA|NA|"1.80M"|"2.20M"
"2013"|"NorthEast United FC"|"Aiborlang Khongjee"|1987-12-09|"25"|"India"|"Amar Tomar Kolkata"|"180"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Milan Singh"|1992-05-15|"21"|"India"|"Mumbai City FC"|"174"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Guilherme Batata"|1992-05-02|"21"|"Brazil"|"Without Club"|"175"|"left"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Kondwani Mtonga"|1984-02-12|"29"|"Zambia"|"ZESCO United FC"|"178"|"right"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Isaac Chansa"|1984-03-23|"29"|"Zambia"|"Zanaco FC"|"170"|"right"|NA|NA|NA|"400K"|"400K"
"2013"|"NorthEast United FC"|"David Ngaihte"|1989-12-16|"23"|"India"|"Tollygunge Agragami"|"170"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Leo Bertos"|1981-12-20|"31"|"New Zealand"|"Hamilton Olympic FC"|"177"|"right"|NA|NA|NA|"500K"|"450K"
"2013"|"NorthEast United FC"|"Boithang Haokip"|1991-09-09|"21"|"India"|"Bengaluru FC"|"178"|NA|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Seiminlen Doungel"|1994-01-03|"19"|"India"|"Kerala Blasters FC"|"172"|"right"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Alen Deory"|1996-01-12|"17"|"India"|"Mumbai City FC"|"177"|"right"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Zodingliana Ralte"|1995-05-05|"18"|"India"|"Shillong Lajong FC"|"174"|"left"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Dong-hyeon Do"|1993-11-19|"19"|"Korea, South"|"Kelantan FA"|"173"|"left"|NA|NA|NA|"100K"|NA
"2013"|"NorthEast United FC"|"Redeem Tlang"|1995-02-22|"18"|"India"|"NorthEast United FC"|"172"|"right"|NA|NA|NA|NA|NA
"2013"|"NorthEast United FC"|"Koke"|1983-04-27|"30"|"Spain"|"Retired"|"179"|"right"|NA|NA|NA|"600K"|"700K"
"2013"|"NorthEast United FC"|"James Keene"|1985-12-26|"27"|"England"|"SuperSport United"|"179"|"right"|NA|NA|NA|"600K"|"500K"
"2013"|"NorthEast United FC"|"Luis Yanes"|1982-10-29|"30"|"Colombia"|"Retired"|"179"|"right"|NA|NA|NA|"400K"|"1.00M"
"2013"|"NorthEast United FC"|"Durga Boro"|1987-01-28|"26"|"India"|"Unknown"|"172"|NA|NA|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Pawan Kumar"|1990-07-01|"24"|"India"|"NorthEast United FC"|"182"|NA|2013-09-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Soram Anganba"|1992-12-24|"21"|"India"|"Bengaluru FC"|"180"|NA|2014-11-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Lalthuammawia Ralte"|1992-11-28|"21"|"India"|"FC Goa"|"177"|NA|2014-09-01|NA|2018-05-30|NA|NA
"2014"|"Bengaluru FC"|"Shivananju Manju"|1987-05-09|"27"|"India"|"Unknown"|"179"|"both"|2013-07-01|NA|NA|"75K"|NA
"2014"|"Bengaluru FC"|"Gurtej Singh"|1990-05-02|"24"|"India"|"FC Pune City"|"181"|"right"|2013-07-08|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Kosovar Sulejmani"|1999-04-02|"15"|"Kosovo"|"Snöstorp Nyhem FF"|NA|NA|NA|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Keegan Pereira"|1987-11-07|"26"|"India"|"NorthEast United FC"|"175"|"left"|2013-09-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Lalchhuanmawia"|1989-04-14|"25"|"India"|"FC Pune City"|"182"|"left"|2014-07-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Curtis Osano"|1987-03-08|"27"|"Kenya"|"FC Farnborough"|"180"|"right"|2013-07-16|NA|NA|"100K"|NA
"2014"|"Bengaluru FC"|"John Johnson"|1988-03-15|"26"|"England"|"Amar Tomar Kolkata"|"183"|"right"|2013-07-16|NA|2018-05-30|"75K"|"50K"
"2014"|"Bengaluru FC"|"Vishal Kumar"|1992-07-30|"21"|"India"|"Unknown"|NA|"right"|2013-07-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Rino Anto"|1988-01-03|"26"|"India"|"Bengaluru FC"|"174"|"right"|2013-07-20|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Amoes"|1994-04-09|"20"|"India"|"Without Club"|NA|NA|2013-09-11|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Sampath Kuttymani"|1986-09-28|"27"|"India"|"DSK Shivajians"|"185"|NA|2013-07-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Shilton D'Silva"|1992-09-15|"21"|"India"|"Mohun Bagan AC"|"177"|NA|2014-12-12|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Shankar Sampingiraj"|1994-12-14|"19"|"India"|"FC Pune City"|"183"|NA|2013-12-13|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Josh Walker"|1989-02-21|"25"|"England"|"Edinburgh City FC"|"180"|"right"|2014-07-07|NA|NA|"500K"|"300K"
"2014"|"Bengaluru FC"|"Thoi Singh"|1990-10-05|"23"|"India"|"Chennaiyin FC"|"168"|NA|2013-06-19|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Eugeneson Lyngdoh"|1986-09-10|"27"|"India"|"Amar Tomar Kolkata"|"171"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Darren Caldeira"|1987-09-19|"26"|"India"|"Mohun Bagan AC"|"183"|NA|2013-07-30|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Siam Hanghal"|1993-05-26|"21"|"India"|"Delhi Dynamos FC"|"182"|NA|2013-09-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"C.K. Vineeth"|1988-05-20|"26"|"India"|"Kerala Blasters FC"|"178"|NA|2014-01-30|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Udanta Singh"|1996-06-14|"18"|"India"|"Bengaluru FC"|NA|NA|2014-07-15|NA|2020-06-30|NA|NA
"2014"|"Bengaluru FC"|"Beingaichho Beokhokhai"|1992-12-01|"21"|"India"|"Mohun Bagan AC"|NA|"right"|2013-07-01|NA|NA|NA|NA
"2014"|"Bengaluru FC"|"Sunil Chhetri"|1984-08-03|"29"|"India"|"Bengaluru FC"|"170"|NA|2013-07-30|NA|NA|"400K"|"400K"
"2014"|"Bengaluru FC"|"Sean Rooney"|1989-03-01|"25"|"Australia"|"Marconi Stallions"|"177"|"both"|2013-08-01|NA|NA|"100K"|"200K"
"2014"|"Bengaluru FC"|"Robin Singh"|1990-05-09|"24"|"India"|"FC Pune City"|"185"|NA|2013-07-11|NA|NA|"75K"|NA
"2014"|"Bengaluru FC"|"Karan Sawhney"|1992-03-23|"22"|"India"|"Without Club"|"184"|NA|2013-07-20|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Apoula Edel"|1986-06-17|"28"|"Armenia"|"Retired"|"184"|"right"|NA|NA|NA|"1.00M"|"2.00M"
"2014"|"Chennaiyin FC"|"Karanjit Singh"|1986-01-08|"28"|"India"|"Chennaiyin FC"|"182"|"right"|NA|NA|NA|"100K"|"100K"
"2014"|"Chennaiyin FC"|"Pawan Kumar"|1990-07-01|"24"|"India"|"NorthEast United FC"|"182"|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Nidhin Lal"|1990-12-25|"23"|"India"|"Shillong Lajong FC"|"183"|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Éder Monteiro"|1983-09-21|"30"|"Brazil"|"Esporte Clube Taubaté (SP)"|"183"|"right"|NA|NA|NA|"350K"|"500K"
"2014"|"Chennaiyin FC"|"Alessandro Potenza"|1984-03-08|"30"|"Italy"|"Retired"|"185"|"right"|NA|NA|NA|"250K"|"300K"
"2014"|"Chennaiyin FC"|"Gouramangi Singh"|1986-01-25|"28"|"India"|"NEROCA FC"|"186"|"right"|2014-07-01|NA|NA|"100K"|"100K"
"2014"|"Chennaiyin FC"|"Mailson"|1988-02-05|"26"|"Brazil"|"Chennaiyin FC"|"183"|"right"|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Dhanachandra Singh"|1987-03-04|"27"|"India"|"Jamshedpur FC"|"180"|NA|2014-09-01|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Justin Stephen"|1988-01-28|"26"|"India"|"DSK Shivajians"|"185"|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Sena Ralte"|1988-07-06|"25"|"India"|"Amar Tomar Kolkata"|"170"|"left"|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Bernard Mendy"|1981-08-20|"32"|"France"|"Retired"|"180"|"right"|2014-08-21|NA|NA|"400K"|"600K"
"2014"|"Chennaiyin FC"|"Mehrajuddin Wadoo"|1984-02-12|"30"|"India"|"Without Club"|"186"|"right"|NA|NA|NA|"75K"|NA
"2014"|"Chennaiyin FC"|"Harmanjot Khabra"|1988-03-18|"26"|"India"|"Bengaluru FC"|"181"|"right"|2014-07-01|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Abhishek Das"|1993-11-15|"20"|"India"|"Mohun Bagan AC"|"170"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Zakeer Mundampara"|1990-05-20|"24"|"India"|"Kerala Blasters FC"|NA|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Dhanpal Ganesh"|1994-06-13|"20"|"India"|"Chennaiyin FC"|"185"|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Raphael Augusto"|1991-03-06|"23"|"Brazil"|"Chennaiyin FC"|"181"|"both"|NA|NA|NA|"200K"|"200K"
"2014"|"Chennaiyin FC"|"Manuele Blasi"|1980-08-17|"33"|"Italy"|"Retired"|"178"|"right"|NA|NA|NA|"150K"|"300K"
"2014"|"Chennaiyin FC"|"Thoi Singh"|1990-10-05|"23"|"India"|"Chennaiyin FC"|"168"|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Godwin Franco"|1985-02-16|"29"|"India"|"Without Club"|NA|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Gilbert Oliveira"|1990-05-31|"24"|"India"|"Salgaocar SC Goa"|"155"|NA|NA|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Elano"|1981-06-14|"33"|"Brazil"|"Retired"|"174"|"right"|2014-09-19|NA|NA|"1.00M"|"1.50M"
"2014"|"Chennaiyin FC"|"Bruno Pelissari"|1993-01-03|"21"|"Brazil"|"Clube Atlético Votuporanguense"|"181"|"right"|2014-08-21|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Denson Devadas"|1982-12-20|"31"|"India"|"Chennai City FC"|"178"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Stiven Mendoza"|1992-06-27|"22"|"Colombia"|"SC Amiens"|"172"|NA|2014-10-01|NA|NA|"150K"|NA
"2014"|"Chennaiyin FC"|"Fikru Teferra Lemessa"|1986-01-24|"28"|"Ethiopia"|"Without Club"|"183"|"right"|NA|NA|NA|"150K"|"325K"
"2014"|"Chennaiyin FC"|"Jeje Lalpekhlua"|1991-01-07|"23"|"India"|"Chennaiyin FC"|"176"|NA|2014-09-01|NA|NA|"125K"|NA
"2014"|"Chennaiyin FC"|"Balwant Singh"|1986-12-15|"27"|"India"|"Amar Tomar Kolkata"|"180"|NA|2014-09-01|NA|NA|NA|NA
"2014"|"Chennaiyin FC"|"Jayesh Rane"|1993-02-20|"21"|"India"|"Amar Tomar Kolkata"|"175"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Toni Doblas"|1980-08-05|"33"|"Spain"|"Ceres-Negros FC"|"184"|"right"|NA|NA|NA|"400K"|"400K"
"2014"|"Delhi Dynamos FC"|"Subhasish Roy Chowdhury"|1986-09-27|"27"|"India"|"Jamshedpur FC"|"185"|NA|NA|NA|NA|"25K"|"25K"
"2014"|"Delhi Dynamos FC"|"Ishan Debnath"|1991-06-07|"23"|"India"|"Without Club"|"178"|NA|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Sanjiban Ghosh"|1991-07-06|"22"|"India"|"Chennaiyin FC"|"183"|NA|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Ravi Kumar"|1993-07-04|"20"|"India"|"Mumbai City FC"|"182"|"right"|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Chicão"|1981-06-03|"33"|"Brazil"|"Retired"|"181"|"right"|NA|NA|NA|"500K"|"1.00M"
"2014"|"Delhi Dynamos FC"|"Anwar Ali"|1984-08-24|"29"|"India"|"Mumbai City FC"|"189"|"right"|2014-07-01|NA|NA|"50K"|NA
"2014"|"Delhi Dynamos FC"|"Anas Edathodika"|1987-02-15|"27"|"India"|"Kerala Blasters FC"|"181"|NA|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"John Arne Riise"|1980-09-24|"33"|"Norway"|"Retired"|"185"|"left"|NA|NA|NA|"1.00M"|"2.00M"
"2014"|"Delhi Dynamos FC"|"Robert Lalthlamuana"|1988-09-04|"25"|"India"|"NorthEast United FC"|"171"|"left"|2014-07-01|NA|NA|"25K"|NA
"2014"|"Delhi Dynamos FC"|"Roberto Carlos"|1973-04-10|"41"|"Brazil"|"Retired"|"168"|"left"|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Naoba Singh"|1988-03-06|"26"|"India"|"NEROCA FC"|NA|NA|2014-07-01|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Prabir Das"|1993-12-20|"20"|"India"|"Amar Tomar Kolkata"|"172"|"right"|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Gunashekar Vignesh"|1988-09-30|"25"|"India"|"Without Club"|"173"|NA|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Serginho Greene"|1982-06-24|"32"|"Netherlands"|"Unknown"|"178"|"right"|NA|NA|NA|"300K"|"600K"
"2014"|"Delhi Dynamos FC"|"Florent Malouda"|1980-06-13|"34"|"French Guiana"|"Retired"|"177"|"left"|NA|NA|NA|"1.50M"|"1.50M"
"2014"|"Delhi Dynamos FC"|"Hans Mulder"|1987-04-27|"27"|"Netherlands"|"RKC Waalwijk"|"180"|"right"|2014-09-08|NA|NA|"300K"|"400K"
"2014"|"Delhi Dynamos FC"|"Souvik Chakrabarti"|1991-07-12|"22"|"India"|"Mumbai City FC"|"174"|"both"|2014-09-01|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Sehnaj Singh"|1993-07-29|"20"|"India"|"Mumbai City FC"|"180"|NA|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Francis Fernandes"|1985-11-25|"28"|"India"|"Chennaiyin FC"|"170"|NA|2014-07-01|NA|NA|"50K"|NA
"2014"|"Delhi Dynamos FC"|"Shylo Malsawmtluanga"|1984-10-24|"29"|"India"|"Aizawl Football Club"|"169"|NA|2014-07-01|NA|NA|"25K"|NA
"2014"|"Delhi Dynamos FC"|"Seiminlen Doungel"|1994-01-03|"20"|"India"|"Kerala Blasters FC"|"172"|"right"|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Zodingliana Ralte"|1995-05-05|"19"|"India"|"Shillong Lajong FC"|"174"|"left"|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Gustavo Marmentini"|1994-03-08|"20"|"Brazil"|"Alashkert Yerevan"|"179"|"left"|2014-08-21|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Adil Nabi"|1994-02-28|"20"|"England"|"Dundee FC"|"175"|NA|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Robin Singh"|1990-05-09|"24"|"India"|"FC Pune City"|"185"|NA|NA|NA|NA|"75K"|NA
"2014"|"Delhi Dynamos FC"|"Richard Gadze"|1994-08-23|"19"|"Ghana"|"FC Voluntari"|"176"|"right"|NA|NA|NA|NA|NA
"2014"|"Delhi Dynamos FC"|"Vinicius Ferreira"|1988-12-02|"25"|"Brazil"|"Without Club"|"169"|"left"|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Andrade"|1979-03-30|"35"|"Portugal"|"Retired"|"190"|"right"|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Laxmikant Kattimani"|1989-05-03|"25"|"India"|"FC Goa"|"183"|NA|2014-07-24|NA|NA|NA|NA
"2014"|"FC Goa"|"Luis Barreto"|1980-10-14|"33"|"India"|"East Bengal FC"|"173"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Keenan Almeida"|1991-12-10|"22"|"India"|"FC Pune City"|"181"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Lúcio"|1978-05-08|"36"|"Brazil"|"Brasiliense FC (DF)"|"188"|"right"|NA|NA|NA|"500K"|"250K"
"2014"|"FC Goa"|"Grégory Arnolin"|1980-11-10|"33"|"Martinique"|"Retired"|"187"|"right"|2014-08-21|NA|NA|"500K"|"800K"
"2014"|"FC Goa"|"Raju Gaikwad"|1990-09-25|"23"|"India"|"Jamshedpur FC"|"180"|NA|NA|NA|NA|"50K"|"50K"
"2014"|"FC Goa"|"Luciano Sabrosa"|1979-07-25|"34"|"Brazil"|"Without Club"|"186"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Narayan Das"|1993-09-25|"20"|"India"|"Delhi Dynamos FC"|"175"|NA|2014-07-02|NA|NA|NA|NA
"2014"|"FC Goa"|"Léo Moura"|1978-10-23|"35"|"Brazil"|"Grêmio Foot-Ball Porto Alegrense"|"176"|"right"|NA|NA|NA|"300K"|"500K"
"2014"|"FC Goa"|"Debabrata Roy"|1986-11-04|"27"|"India"|"Mohun Bagan AC"|"173"|"right"|2014-07-01|NA|NA|"50K"|NA
"2014"|"FC Goa"|"Nicolau Colaco"|1984-05-16|"30"|"India"|"Salgaocar SC Goa"|"180"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Jonatan Lucca"|1994-06-02|"20"|"Brazil"|"Os Belenenses SAD"|"184"|"left"|NA|NA|NA|"500K"|"700K"
"2014"|"FC Goa"|"Bikramjit Singh"|1992-10-15|"21"|"India"|"Delhi Dynamos FC"|"171"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Goa"|"Pronay Halder"|1993-02-25|"21"|"India"|"Amar Tomar Kolkata"|"177"|"right"|2014-07-02|NA|NA|NA|NA
"2014"|"FC Goa"|"Mandar Rao Desai"|1992-03-18|"22"|"India"|"FC Goa"|"171"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Goa"|"Denson Devadas"|1982-12-20|"31"|"India"|"Chennai City FC"|"178"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Jofre"|1980-01-24|"34"|"Spain"|"Retired"|"170"|"left"|NA|NA|NA|"100K"|"200K"
"2014"|"FC Goa"|"Romeo Fernandes"|1992-07-06|"21"|"India"|"Delhi Dynamos FC"|"168"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Goa"|"Rafael Coelho"|1988-05-20|"26"|"Brazil"|"Without Club"|"175"|"right"|NA|NA|NA|"700K"|"750K"
"2014"|"FC Goa"|"Victor Simões"|1981-03-23|"33"|"Brazil"|"Retired"|"176"|"left"|NA|NA|NA|"500K"|"700K"
"2014"|"FC Goa"|"Darryl Duffy"|1984-04-16|"30"|"Scotland"|"Airdrieonians FC"|"180"|"right"|NA|NA|NA|"300K"|"350K"
"2014"|"FC Goa"|"Dudu"|1985-07-18|"28"|"Nigeria"|"Without Club"|"179"|"left"|NA|NA|NA|"275K"|"500K"
"2014"|"FC Goa"|"C.S. Sabeeth"|1990-12-02|"23"|"India"|"Minerva Punjab FC"|"177"|NA|NA|NA|NA|"50K"|NA
"2014"|"FC Goa"|"Reinaldo"|1979-03-14|"35"|"Brazil"|"Without Club"|"187"|"right"|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Joaquim Abranches"|1985-10-28|"28"|"India"|"Unknown"|"177"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Sembi Haokip"|1993-08-26|"20"|"India"|"Bengaluru FC"|"183"|NA|NA|NA|NA|NA|NA
"2014"|"FC Goa"|"Victorino Fernandes"|1989-02-03|"25"|"India"|"Sporting Goa"|"170"|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Arindam Bhattacharya"|1989-05-20|"25"|"India"|"Amar Tomar Kolkata"|"189"|NA|2014-07-01|NA|NA|"25K"|NA
"2014"|"FC Pune City"|"Steve Simonsen"|1979-04-03|"35"|"England"|"Retired"|"187"|"right"|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Lalit Thapa"|1984-08-12|"29"|"India"|"NEROCA FC"|"179"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Pune City"|"Diego Colotto"|1981-03-10|"33"|"Argentina"|"Retired"|"184"|"right"|NA|NA|NA|"1.80M"|"2.00M"
"2014"|"FC Pune City"|"Roger Johnson"|1983-04-28|"31"|"England"|"Bromley FC"|"191"|"right"|NA|NA|NA|"1.50M"|"2.00M"
"2014"|"FC Pune City"|"Gouramangi Singh"|1986-01-25|"28"|"India"|"NEROCA FC"|"186"|"right"|NA|NA|NA|"100K"|"100K"
"2014"|"FC Pune City"|"Govin Singh"|1988-01-03|"26"|"India"|"Aizawl Football Club"|"183"|"right"|NA|NA|NA|"25K"|NA
"2014"|"FC Pune City"|"Nicky Shorey"|1981-02-19|"33"|"England"|"Retired"|"175"|"left"|NA|NA|NA|"500K"|"1.00M"
"2014"|"FC Pune City"|"Gurjinder Kumar"|1990-10-10|"23"|"India"|"Mohun Bagan AC"|"178"|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Dharmaraj Ravanan"|1987-07-27|"26"|"India"|"Chennai City FC"|"179"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Pune City"|"Pritam Kotal"|1993-08-09|"20"|"India"|"Delhi Dynamos FC"|"179"|NA|2014-07-01|NA|NA|NA|NA
"2014"|"FC Pune City"|"Didier Zokora"|1980-12-14|"33"|"Cote d'Ivoire"|"Retired"|"180"|"right"|NA|NA|NA|"3.20M"|"4.00M"
"2014"|"FC Pune City"|"James Bailey"|1988-09-18|"25"|"England"|"Yeovil Town"|"183"|NA|NA|NA|NA|"300K"|"250K"
"2014"|"FC Pune City"|"Lenny Rodrigues"|1987-05-10|"27"|"India"|"FC Goa"|"185"|NA|2014-07-01|NA|NA|"50K"|NA
"2014"|"FC Pune City"|"Sushanth Mathew"|1978-05-18|"36"|"India"|"Gokulam Kerala FC"|"174"|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Eugeneson Lyngdoh"|1986-09-10|"27"|"India"|"Amar Tomar Kolkata"|"171"|NA|NA|NA|NA|NA|NA
"2014"|"FC Pune City"|"Manish Maithani"|1986-12-06|"27"|"India"|"Southern Samity"|"174"|NA|2014-07-01|NA|NA|NA|NA
